STATUS | wrapper  | 2017/01/26 21:23:33 | --> Wrapper Started as Console
STATUS | wrapper  | 2017/01/26 21:23:34 | Launching a JVM...
INFO   | jvm 1    | 2017/01/26 21:23:34 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2017/01/26 21:23:34 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2017/01/26 21:23:34 | 
INFO   | jvm 1    | 2017/01/26 21:23:34 | 
INFO   | jvm 1    | 2017/01/26 21:23:34 | WARNING - Unable to load the Wrapper's native library because none of the
INFO   | jvm 1    | 2017/01/26 21:23:34 |           following files:
INFO   | jvm 1    | 2017/01/26 21:23:34 |             wrapper-windows-x86-64.dll
INFO   | jvm 1    | 2017/01/26 21:23:34 |             wrapper.dll
INFO   | jvm 1    | 2017/01/26 21:23:34 |           could be located on the following java.library.path:
INFO   | jvm 1    | 2017/01/26 21:23:34 |             C:\Users\Sajitha\Desktop\sdk-standalone-1.0.147\lib
INFO   | jvm 1    | 2017/01/26 21:23:34 |           Please see the documentation for the wrapper.java.library.path
INFO   | jvm 1    | 2017/01/26 21:23:34 |           configuration property.
INFO   | jvm 1    | 2017/01/26 21:23:34 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2017/01/26 21:23:34 | 
INFO   | jvm 1    | 2017/01/26 21:23:35 | 21:23:35,480 INFO MchoiceSdpSdkStarter -  ========================================================
INFO   | jvm 1    | 2017/01/26 21:23:35 | 21:23:35,485 INFO MchoiceSdpSdkStarter -  ============= mChoice SDP Simulator Started ============
INFO   | jvm 1    | 2017/01/26 21:23:35 | 21:23:35,485 INFO MchoiceSdpSdkStarter -  ========================================================
INFO   | jvm 1    | 2017/01/26 21:23:35 | 21:23:35,525 INFO JettyServerStarter -  Starting mChoice SDP SDK Server on Port[10001]
INFO   | jvm 1    | 2017/01/26 21:23:37 | 21:23:37,440 INFO / -  Initializing Spring root WebApplicationContext
INFO   | jvm 1    | 2017/01/26 21:23:37 | SLF4J: Class path contains multiple SLF4J bindings.
INFO   | jvm 1    | 2017/01/26 21:23:37 | SLF4J: Found binding in [jar:file:/C:/Users/Sajitha/AppData/Local/Temp/jetty-0.0.0.0-10001-mchoice-sdp-sdk.war-_-any-/webapp/WEB-INF/lib/slf4j-log4j12-1.6.1.jar!/org/slf4j/impl/StaticLoggerBinder.class]
